feature,importance,importance_level
Age,0.06853977464414779,Strong
Membership_Years,0.02147682495199267,None
Login_Frequency,0.024470173139560035,Weak
Session_Duration_Avg,0.040776851541203946,Moderate
Pages_Per_Session,0.04060613209183803,Moderate
Cart_Abandonment_Rate,0.09910945033131256,Strong
Wishlist_Items,0.022098722172180202,None
Total_Purchases,0.05561779866820255,Moderate
Average_Order_Value,0.04725599225066856,Moderate
Days_Since_Last_Purchase,0.060889419099060114,Strong
Discount_Usage_Rate,0.07147061059072198,Strong
Returns_Rate,0.03343749068703836,Weak
Email_Open_Rate,0.047293848044806526,Moderate
Customer_Service_Calls,0.12786034793358675,Strong
Product_Reviews_Written,0.01586295302558952,None
Social_Media_Engagement_Score,0.024811205372399548,Weak
Mobile_App_Usage,0.03320937951406247,Weak
Payment_Method_Diversity,0.00924272060900464,None
Lifetime_Value,0.1289821584090113,Strong
Credit_Balance,0.024860281348188837,Weak
Email_Open_Rate_Missing,0.0021278655754236645,None
